ccaa;nombre;nombre_notilde;abreviatura;id_mapa
1;Andalucía;Andalucia;AN;61
2;Aragón;Aragon;AR;62
3;Asturias;Asturias;AS;63
4;Balears;Balears;IB;64
5;Canarias;Canarias;CN;65
6;Cantabria;Cantabria;CB;66
7;Castilla y León;Castilla y Leon;CL;67
8;Castilla - La Mancha;Castilla - La Mancha;CM;68
9;Cataluña;Catalunya;CT;69
10;Comunitat Valenciana;Comunitat Valenciana;VC;77
11;Extremadura;Extremadura;EX;70
12;Galicia;Galicia;GA;71
13;Madrid;Madrid;MD;72
14;Murcia;Murcia;MC;73
15;Navarra;Navarra;NC;74
16;País Vasco;Pais Vasco;PV;75
17;La Rioja;La Rioja;RI;76
