P59;cso88;cso12
0;;9
2;;9
3;;9
11;1;1
12;1;1
13;1;1
14;2;2
20;1;1
21;1;1
22;1;1
23;1;1
27;1;1
28;1;1
30;2;2
31;2;2
32;2;2
33;2;2
34;2;2
35;2;2
36;2;2
37;2;2
38;2;2
39;2;2
41;2;2
42;2;2
43;2;2
47;2;2
51;1;1
52;1;1
58;1;1
61;1;1
63;1;1
65;1;1
67;1;1
71;2;2
72;2;2
73;2;2
74;2;2
75;4b;5
76;2;2
79;2;2
81;1;1
84;1;1
85;2;2
90;1;1
98;1;1
110;2;2
111;2;2
113;2;2
121;1;1
122;1;1
123;1;1
124;1;1
129;1;1
130;;9
131;1;1
132;2;2
133;2;2
134;2;2
135;2;2
139;2;2
141;6;9
143;6;9
145;6;9
151;1;1
152;1;1
153;1;1
154;1;1
155;1;1
159;1;1
161;2;2
162;2;2
163;2;2
164;2;2
171;2;2
172;2;2
173;2;2
174;2;2
176;2;2
177;2;2
179;2;2
180;2;2
181;2;2
182;2;2
183;2;2
189;2;2
190;2;2
191;2;2
192;1;1
193;2;2
194;1;1
195;1;1
196;2;2
199;2;2
202;1;1
211;1;1
212;1;1
213;1;1
231;6;9
239;6;9
292;;9
303;;9
310;3;3
311;3;3
312;3;3
321;3;3
322;3;3
331;3;3
339;3;3
342;3;3
343;3;3
344;3;3
351;3;3
352;3;3
353;3;3
360;4a;4
370;4b;5
380;4a;4
386;4a;4
391;3;3
393;3;3
394;3;3
395;3;3
397;3;3
399;3;3
400;2;2
410;2;2
420;3;3
421;3;3
422;3;3
431;3;3
432;3;3
441;3;3
442;3;3
443;3;3
444;3;3
451;4a;4
452;4b;5
454;;9
470;;9
471;;9
500;2;2
510;2;2
511;2;2
520;4a;4
522;4a;4
531;4b;5
532;4b;5
540;5;6
548;5;6
551;5;6
552;5;6
560;4b;5
570;4a;4
580;6;3
581;3;3
582;3;3
583;3;3
584;3;3
585;6;2
586;6;2
587;6;2
589;3;3
590;4b;5
591;3;3
592;4b;5
594;4b;5
599;4b;5
601;2;2
602;2;2
611;2;2
612;2;2
614;2;2
615;2;2
621;4b;5
624;4b;5
626;4b;5
627;4b;5
628;4b;5
629;4b;5
631;4b;5
632;4b;5
641;4b;5
643;4b;5
649;4b;5
661;;9
671;;9
700;3;3
711;4a;4
721;4a;4
722;4a;4
724;4a;4
726;4a;4
727;4a;4
728;4a;4
729;4b;5
731;4a;4
732;4a;4
734;4a;4
741;4b;5
745;4b;5
749;4b;5
752;4b;5
754;4a;4
755;4a;4
756;4a;4
758;4a;4
759;4b;5
761;4a;4
771;4a;4
772;4b;5
773;4a;4
774;4b;5
775;4b;5
776;4a;4
777;4a;4
778;4a;4
779;4b;5
781;4b;5
791;4a;4
792;4a;4
793;4a;4
794;4a;4
795;4a;4
796;4a;4
799;4b;5
801;4b;5
802;4a;4
803;4a;4
811;4a;4
812;4a;4
819;4a;4
820;4a;4
821;4a;4
831;4a;4
832;4a;4
833;4a;4
834;4b;5
835;4a;4
836;4a;4
839;4a;4
841;4a;4
842;4a;4
843;4a;4
844;4a;4
849;4a;4
851;4a;4
852;4a;4
853;4a;4
854;4a;4
855;4a;4
856;4a;4
857;4a;4
861;4a;4
862;4a;4
871;4a;4
872;4a;4
873;4a;4
874;4b;5
880;4a;4
881;4a;4
891;4a;4
892;4a;4
893;4a;4
895;4a;4
899;4b;5
901;4b;5
902;4a;4
904;4b;5
910;4a;4
921;4a;4
922;4a;4
924;4a;4
926;4a;4
927;4a;4
929;4a;4
931;4b;5
932;4a;4
934;4a;4
935;4a;4
939;4a;4
941;4a;4
942;4a;4
943;4b;5
944;4b;5
945;4b;5
949;4b;5
951;4a;4
952;4a;4
954;4a;4
955;4a;4
956;4a;4
957;4a;4
959;5;6
961;4a;4
969;4a;4
971;4b;5
972;4a;4
973;4a;4
974;4a;4
979;5;6
981;4b;5
982;4b;5
983;4a;4
984;4a;4
985;4a;4
986;4b;5
988;;9
989;5;6
990;5;6
991;5;6
992;5;6
993;5;6
996;5;6
997;5;6
998;5;6
999;6;9
